Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Thái Bình,,,,,5.8,,9.7,4.8,1.6,2.7,2.3,1.2,2.2,4.7,0.5,1.6,1.1,1,1.7,0.66,0.71,,,0.96
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hà Nam,,,,,2.3,,2.8,4.9,2.4,4.1,6.6,1.4,6.1,6.7,2.6,3,1.1,1.6,3.3,6.4,3.01,,,1.5
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Nam Định,,,,,1.9,,3.9,0.7,2.2,4.1,6.1,2.3,3.5,4.6,0.6,0.7,1.9,2.4,1.6,1.96,1.04,,,2.11
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Ninh Bình,,,,,3.6,,6.4,4.6,3.5,5.9,10.2,10.2,11.9,7.9,5.6,3.4,3.9,4.8,2.6,1.8,2.39,,,4.21
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Trung du và miền núi phía Bắc,,,,,1.9,,2.8,2.2,1.8,2.3,2.8,1.6,2.7,2.3,1.1,0.8,0.7,0.7,1,0.7,0.9,,,0.48
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hà Giang,,,,,0.6,,0.9,0.9,2.2,1.9,2.4,1.3,2.8,1.4,1.1,0.2,0.1,0.1,1,0.71,0.32,,,0.51
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Cao Bằng,,,,,4.2,,5.9,5.2,3.7,4.7,4.6,4.4,8.1,3.3,4,3.3,1.7,1.9,1.8,2.19,2.5,,,2.74
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bắc Kạn,,,,,4.3,,5.0,2.6,4.7,4.6,4.8,3.1,4.7,4,2.2,1,1.6,1.2,1.6,0.95,1.42,,,1.51
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Tuyên Quang,,,,,2.8,,2.6,3.9,2.4,2.8,3.7,2.1,3.3,3.9,1.4,1.4,1.2,1.5,1.6,1.44,3.29,,,0.7
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Lào Cai,,,,,1.2,,1.8,1.4,3.9,3.7,3.4,2.9,4.4,2,1.9,1.4,2.6,0.5,2.2,0.82,0.69,,,0.64
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Yên Bái,,,,,2.3,,3.8,3.6,2.1,3.4,4.4,1.8,4,4.4,2.2,1.4,1.3,2.1,1.6,2.17,1.54,,,1.6
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Thái Nguyên,,,,,5.9,,6.1,4.3,6,11.5,7.7,4.7,4.1,6.5,3.5,2.9,2.8,3,6.9,1.01,1.74,,,0.78
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Lạng Sơn,,,,,1.2,,1.3,2.5,2.6,3,6.2,3.5,6.1,2,2.4,1.4,1.3,2.2,1.3,1.69,0.86,,,1.28
